ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month
7/1/13,16650,16.309987987987988,74.8,78.1,73.4,7.8,0,Monday,7
7/2/13,22745,15.968826115629806,76.1,82.9,73,8,0.73,Tuesday,7
7/3/13,21864,16.238808086351998,78.5,84.9,73.9,8.8,0.06,Wednesday,7
7/4/13,22326,21.21847398,82,91,73.9,8.6,0.96,Thursday,7
7/5/13,21842,18.04044348808107,84.4,93,75.9,9,0,Friday,7
7/6/13,20467,19.326261787267303,87,95,77,9.3,0,Saturday,7
7/7/13,20477,18.638323484885486,88.8,98.1,79,8.8,0,Sunday,7
7/8/13,21615,21.49216439201172,83.7,98.1,75,8.9,0,Monday,7
7/9/13,26641,16.098854522477883,82.6,91,75,6,0,Tuesday,7
7/10/13,25732,15.531954375874399,82,91,75,8.7,0.08,Wednesday,7
7/11/13,24417,16.828634421373085,82.3,91,75,7.6,0.02,Thursday,7
7/12/13,19006,15.635127503595358,75.4,86,72,9.1,0,Friday,7
7/13/13,26119,18.615661013055622,71.4,78.1,68,10.5,0.23,Saturday,7
7/14/13,29287,19.362671151022631,80.2,93.9,69.1,6,0.01,Sunday,7
7/15/13,28069,15.318282328072488,87.2,93.9,72,7.8,0,Monday,7
7/16/13,29842,15.128550923753995,86.5,93.9,79,7.9,0,Tuesday,7
7/17/13,30550,14.669449536279322,87.4,97,78.1,4,0,Wednesday,7
7/18/13,28869,14.380492338956437,89.3,100,78.1,6.3,0,Thursday,7
7/19/13,26591,14.671052862497337,92.5,100,82.9,8.9,0,Friday,7
7/20/13,25278,17.947821557612688,89.2,100,82.9,11.3,0,Saturday,7
7/21/13,30297,18.707899021905359,82.2,95,77,7.6,0,Sunday,7
7/22/13,25979,14.700189255424251,77.1,87.1,75,8.3,0,Monday,7
7/23/13,32376,15.737208117123792,80,91,75,7.4,0.58,Tuesday,7
7/24/13,35271,15.592202753914924,79.9,91,75,7.8,0.31,Wednesday,7
7/25/13,31084,14.937073199502423,68,82.9,64,11.7,0,Thursday,7
7/26/13,34534,15.667923881778348,71.5,84,64,8.6,0.02,Friday,7
7/27/13,32470,18.914398419053487,76.9,84,64.9,8.5,0,Saturday,7
7/28/13,23508,17.54357310986331,74.8,84,71.1,7.6,0,Sunday,7
